team1_win_rate_vs_team2,team1_won_toss,toss_decision_bat,team1_venue_win_rate,team1_recent_form,team1_won
0.5,0,0,0.424,0.4,0
0.5,1,0,0.571,0.4,1
0.5,0,0,0.75,0.6,1
0.333,0,0,0.424,0.4,0
0.538,0,0,0.643,0.2,1
0.455,1,1,0.424,0.2,0
0.333,0,0,0.0,0.8,1
0.667,1,0,0.75,0.8,0
0.417,1,0,0.571,0.2,0
0.0,0,0,0.424,0.2,0
0.6,0,0,0.643,0.4,0
0.455,0,0,0.0,0.8,0
0.545,1,1,0.571,0.2,0
0.5,1,1,0.875,0.6,0
0.615,0,1,0.5,0.8,1
0.545,0,0,0.571,0.2,1
1.0,0,0,0.875,0.6,0
0.167,1,0,1.0,0.4,1
0.5,0,0,0.75,0.6,1
0.571,1,1,0.5,0.8,0
0.5,1,1,0.875,0.4,0
0.417,0,1,0.75,0.6,0
0.417,0,0,0.424,0.0,0
0.5,0,1,0.875,0.4,1
0.333,1,0,0.588,0.8,1
0.583,0,0,0.536,0.8,0
0.5,0,0,0.588,1.0,1
1.0,0,0,0.5,0.4,0
0.5,0,0,0.643,0.6,1
0.273,0,0,0.536,0.6,1
0.429,0,0,0.571,0.4,0
0.5,1,0,0.588,1.0,1
0.583,1,0,0.536,0.6,1
0.583,1,0,0.643,0.8,1
0.455,1,0,0.4,0.8,0
0.4,1,0,0.5,0.4,1
0.667,1,0,0.333,0.4,0
0.545,1,0,0.4,1.0,1
0.286,1,0,0.632,1.0,1
0.714,0,0,0.675,0.4,1
0.385,1,0,0.5,0.6,0
0.75,1,1,0.675,0.6,1
0.571,0,0,0.632,1.0,0
0.429,0,0,0.368,0.0,0
0.5,1,0,0.667,0.6,0
0.5,0,0,0.55,0.4,0
0.357,0,1,0.625,0.4,1
0.643,1,1,0.5,0.4,0
0.4,0,0,0.5,0.6,0
0.5,1,1,0.667,0.2,0
1.0,0,1,0.5,0.4,0
0.4,0,0,0.5,0.4,0
0.333,0,1,0.625,0.8,1
0.467,1,0,0.55,0.2,0
0.462,0,0,0.368,0.4,0
0.615,0,0,0.625,1.0,0
0.25,0,0,0.5,0.2,1
0.438,1,0,0.55,0.2,0
0.5,0,0,0.368,0.4,1
0.538,0,0,0.625,0.8,0
0.5,1,1,0.667,0.2,1
0.533,1,1,0.675,0.8,1
0.385,0,0,0.368,0.6,0
0.5,1,0,0.548,0.4,0
0.643,0,0,0.675,0.8,1
0.357,1,0,0.632,0.4,1
0.357,1,0,0.368,0.6,1
0.643,0,0,0.667,0.4,1
0.429,1,0,0.55,0.4,1
0.25,0,0,0.667,0.4,1
0.5,0,1,0.548,0.2,0
0.571,0,0,0.0,0.4,1
0.562,1,1,0.675,0.6,1
0.75,0,0,0.632,0.4,1
0.5,0,1,0.667,0.8,1
0.357,0,0,0.55,0.6,1
0.538,1,1,0.632,0.4,1
0.6,1,0,0.0,0.4,0
0.5,1,1,0.675,0.6,0
0.6,0,1,0.632,0.6,1
0.0,0,1,1.0,0.2,0
0.533,0,1,0.667,1.0,0
0.667,1,1,0.675,0.4,1
0.5,1,1,0.667,0.8,1
0.286,0,1,1.0,0.2,1
0.643,0,0,0.548,0.0,1
0.714,0,0,0.667,0.8,1
0.5,1,1,0.667,0.8,0
0.467,1,1,0.548,0.2,0
0.571,1,1,0.0,0.2,1
0.5,1,1,0.667,0.6,0
0.5,0,1,0.375,0.6,0
0.462,1,1,0.5,0.6,1
0.562,1,0,0.5,0.4,1
0.5,0,0,0.857,0.8,1
0.5,1,1,0.659,0.8,0
0.6,1,0,0.659,0.6,1
0.5,0,0,0.5,0.2,0
0.5,0,0,0.533,0.6,1
0.312,0,0,0.659,0.6,0
0.5,0,1,0.5,1.0,1
0.438,1,0,0.372,0.2,1
0.333,1,1,0.625,0.4,0
0.5,0,0,0.659,0.8,0
0.5,0,1,0.5,0.2,1
0.643,0,0,0.533,0.6,0
0.333,1,0,0.625,0.2,1
